,Q1_opt,Q2_opt,s,a1
0,[5.12392095],[3.25071936],3.9497888213901624,0.4279406990620851
1,[0.59861322],[5.86851571],3.9497888213901624,0.4279406990620851
2,[1.],[4.66666667],3.9497888213901624,0.4279406990620851
3,[1.],[4.],3.9497888213901624,0.4279406990620851
4,[1.],[3.33333333],3.9497888213901624,0.4279406990620851
5,[1.],[2.66666667],3.9497888213901624,0.4279406990620851
6,[1.],[2.],3.9497888213901624,0.4279406990620851
7,[1.],[1.33333333],3.9497888213901624,0.4279406990620851
8,[0.00178557],[6.65595325],3.9497888213901624,0.4279406990620851
9,[1.],[0.],3.9497888213901624,0.4279406990620851
10,[1.],[-0.66666667],3.9497888213901624,0.4279406990620851
11,[1.],[-1.33333333],3.9497888213901624,0.4279406990620851
12,[1.],[-2.],3.9497888213901624,0.4279406990620851
13,[1.],[-2.66666667],3.9497888213901624,0.4279406990620851
14,[1.],[-3.33333333],3.9497888213901624,0.4279406990620851
15,[1.],[-4.],3.9497888213901624,0.4279406990620851
16,[1.],[-4.66666667],3.9497888213901624,0.4279406990620851
17,[1.],[-5.33333333],3.9497888213901624,0.4279406990620851
18,[1.],[-6.],3.9497888213901624,0.4279406990620851
19,[1.],[-6.66666667],3.9497888213901624,0.4279406990620851
20,[1.],[-7.33333333],3.9497888213901624,0.4279406990620851
21,[1.],[-8.],3.9497888213901624,0.4279406990620851
22,[1.],[-8.66666667],3.9497888213901624,0.4279406990620851
23,[1.],[-9.33333333],3.9497888213901624,0.4279406990620851
24,[1.],[-10.],3.9497888213901624,0.4279406990620851
25,[1.],[-10.66666667],3.9497888213901624,0.4279406990620851
26,[1.],[-11.33333333],3.9497888213901624,0.4279406990620851
27,[1.],[-12.],3.9497888213901624,0.4279406990620851
28,[1.],[-12.66666667],3.9497888213901624,0.4279406990620851
29,[1.],[-13.33333333],3.9497888213901624,0.4279406990620851
30,[1.],[-14.],3.9497888213901624,0.4279406990620851
31,[1.],[-14.66666667],3.9497888213901624,0.4279406990620851
32,[1.],[-15.33333333],3.9497888213901624,0.4279406990620851
33,[1.],[-16.],3.9497888213901624,0.4279406990620851
34,[1.],[-16.66666667],3.9497888213901624,0.4279406990620851
35,[1.],[-17.33333333],3.9497888213901624,0.4279406990620851
36,[1.],[-18.],3.9497888213901624,0.4279406990620851
37,[1.],[-18.66666667],3.9497888213901624,0.4279406990620851
38,[1.],[-19.33333333],3.9497888213901624,0.4279406990620851
39,[1.],[-20.],3.9497888213901624,0.4279406990620851
40,[1.],[-20.66666667],3.9497888213901624,0.4279406990620851
41,[1.],[-21.33333333],3.9497888213901624,0.4279406990620851
42,[1.],[-22.],3.9497888213901624,0.4279406990620851
43,[1.],[-22.66666667],3.9497888213901624,0.4279406990620851
44,[1.],[-23.33333333],3.9497888213901624,0.4279406990620851
45,[1.],[-24.],3.9497888213901624,0.4279406990620851
46,[1.],[-24.66666667],3.9497888213901624,0.4279406990620851
47,[1.],[-25.33333333],3.9497888213901624,0.4279406990620851
48,[1.],[-26.],3.9497888213901624,0.4279406990620851
49,[1.],[-26.66666667],3.9497888213901624,0.4279406990620851
50,[1.],[-27.33333333],3.9497888213901624,0.4279406990620851
51,[1.],[-28.],3.9497888213901624,0.4279406990620851
52,[1.],[-28.66666667],3.9497888213901624,0.4279406990620851
53,[1.],[-29.33333333],3.9497888213901624,0.4279406990620851
54,[1.],[-30.],3.9497888213901624,0.4279406990620851
55,[1.],[-30.66666667],3.9497888213901624,0.4279406990620851
56,[1.],[-31.33333333],3.9497888213901624,0.4279406990620851
57,[1.],[-32.],3.9497888213901624,0.4279406990620851
58,[1.],[-32.66666667],3.9497888213901624,0.4279406990620851
59,[1.],[-33.33333333],3.9497888213901624,0.4279406990620851
60,[1.],[-34.],3.9497888213901624,0.4279406990620851
61,[1.],[-34.66666667],3.9497888213901624,0.4279406990620851
62,[1.],[-35.33333333],3.9497888213901624,0.4279406990620851
63,[1.],[-36.],3.9497888213901624,0.4279406990620851
64,[1.],[-36.66666667],3.9497888213901624,0.4279406990620851
65,[1.],[-37.33333333],3.9497888213901624,0.4279406990620851
66,[1.],[-38.],3.9497888213901624,0.4279406990620851
67,[1.],[-38.66666667],3.9497888213901624,0.4279406990620851
68,[1.],[-39.33333333],3.9497888213901624,0.4279406990620851
69,[1.],[-40.],3.9497888213901624,0.4279406990620851
70,[1.],[-40.66666667],3.9497888213901624,0.4279406990620851
71,[1.],[-41.33333333],3.9497888213901624,0.4279406990620851
72,[1.],[-42.],3.9497888213901624,0.4279406990620851
73,[1.],[-42.66666667],3.9497888213901624,0.4279406990620851
74,[1.],[-43.33333333],3.9497888213901624,0.4279406990620851
75,[1.],[-44.],3.9497888213901624,0.4279406990620851
76,[1.],[-44.66666667],3.9497888213901624,0.4279406990620851
77,[1.],[-45.33333333],3.9497888213901624,0.4279406990620851
78,[1.],[-46.],3.9497888213901624,0.4279406990620851
79,[1.],[-46.66666667],3.9497888213901624,0.4279406990620851
80,[1.],[-47.33333333],3.9497888213901624,0.4279406990620851
81,[1.],[-48.],3.9497888213901624,0.4279406990620851
82,[1.],[-48.66666667],3.9497888213901624,0.4279406990620851
83,[1.],[-49.33333333],3.9497888213901624,0.4279406990620851
84,[1.],[-50.],3.9497888213901624,0.4279406990620851
85,[1.],[-50.66666667],3.9497888213901624,0.4279406990620851
86,[1.],[-51.33333333],3.9497888213901624,0.4279406990620851
87,[1.],[-52.],3.9497888213901624,0.4279406990620851
88,[1.],[-52.66666667],3.9497888213901624,0.4279406990620851
89,[1.],[-53.33333333],3.9497888213901624,0.4279406990620851
90,[1.],[-54.],3.9497888213901624,0.4279406990620851
91,[1.],[-54.66666667],3.9497888213901624,0.4279406990620851
92,[1.],[-55.33333333],3.9497888213901624,0.4279406990620851
93,[1.],[-56.],3.9497888213901624,0.4279406990620851
94,[1.],[-56.66666667],3.9497888213901624,0.4279406990620851
95,[1.],[-57.33333333],3.9497888213901624,0.4279406990620851
96,[1.],[-58.],3.9497888213901624,0.4279406990620851
97,[1.],[-58.66666667],3.9497888213901624,0.4279406990620851
98,[1.],[-59.33333333],3.9497888213901624,0.4279406990620851
99,[1.],[-60.],3.9497888213901624,0.4279406990620851
100,[8.72545368],[0.84969755],4.970571250782493,0.8252139771936451
101,[1.],[5.33333333],4.970571250782493,0.8252139771936451
102,[1.],[4.66666667],4.970571250782493,0.8252139771936451
103,[1.],[4.],4.970571250782493,0.8252139771936451
104,[1.],[3.33333333],4.970571250782493,0.8252139771936451
105,[1.],[2.66666667],4.970571250782493,0.8252139771936451
106,[1.18825378],[1.12148235],4.970571250782493,0.8252139771936451
107,[0.93029014],[1.70511925],4.970571250782493,0.8252139771936451
108,[0.71750181],[2.36165579],4.970571250782493,0.8252139771936451
109,[1.],[0.],4.970571250782493,0.8252139771936451
110,[1.],[-0.66666667],4.970571250782493,0.8252139771936451
111,[1.],[-1.33333333],4.970571250782493,0.8252139771936451
112,[1.],[-2.],4.970571250782493,0.8252139771936451
113,[1.],[-2.66666667],4.970571250782493,0.8252139771936451
114,[1.],[-3.33333333],4.970571250782493,0.8252139771936451
115,[1.],[-4.],4.970571250782493,0.8252139771936451
